name,ring,quadrant,isNew,description 
Java,adopt,languages & frameworks,FALSE,"Java Programming language"
GO,trial,languages & frameworks,FALSE,"Go Lang"
Kotlin,trial,languages & frameworks,FALSE,"Kotlin language"
JavaScript,adopt,languages & frameworks,FALSE,"JavaScript"
Dart,hold,languages & frameworks,FALSE,"Dart is a Programming Language from google"
Rust,hold,languages & frameworks,TRUE,""
Groovy,adopt,languages & frameworks,FALSE, ""
Haskell,hold,languages & frameworks,FALSE, ""
Julia,hold,languages & frameworks,FALSE, ""
JSON,adopt,languages & frameworks,FALSE,""
Spring Boot,adopt,languages & frameworks,FALSE,""
Spring,adopt,languages & frameworks,FALSE,""
Node.js,assess,languages & frameworks,FALSE,""
ReactJS,assess,languages & frameworks,FALSE,""
gRPC,trial,languages & frameworks,FALSE,""
Drools,hold,languages & frameworks,FALSE,""
Angular,trial,languages & frameworks,FALSE,""
Vert.x,assess,languages & frameworks,TRUE,"(→ Grundlage Quarkus)"
Quarkus,trial,languages & frameworks,TRUE,""
OpenAPI,adopt,languages & frameworks,FALSE,""
JPA / Hibernate,adopt,languages & frameworks,FALSE,""
Istio,assess,languages & frameworks,FALSE,""
OpenTracing,adopt,languages & frameworks,FALSE,""
StencilJS,assess,languages & frameworks,FALSE,""
S3,adopt,tools,false,"S3 compatible data stores"
Apache Ignite,adopt,tools,false,"In memory cache, data grid, database"
PostgreSQL,adopt,tools,false,"Free open-source RDBMS"
MariaDB,adopt,tools,false,"Oracle-DB compliant RDBMS"
Hazelcast,adopt,tools,false,"In memory cache, data grid"
Cassandra,trial,tools,false,"Database for scalability and high availability without compromising performance"
Elasticsearch,assess,tools,false,"Distributed search engine"
Kafka,assess,tools,false,"Open-source distributed event streaming platform"
Redis,assess,tools,false,"Open source, in-memory data structure store, used as a database, cache and message broker"
ZooKeeper,assess,tools,false,"open-source server which enables highly reliable distributed coordination"
ActiveMQ,adopt,tools,false,"Open source, multi-protocol, Java-based messaging server"
AWS Services,assess,platforms,false,"AWS Cloud Computing Services"
Micro Frontends,adopt,techniques,false,"Micro Frontends"
